"code","cant","price","desc"
"1523-01","2","258","Brillo Labial Líquido Rosa Nude"
"2802P-01","3","550"," Base de Maquillaje Siliconado Blur Efecto Photoshop Claro"
"2802P-02","3","550"," Base de Maquillaje Siliconado Blur Efecto Photoshop Medio"
"2912P-01","6","420","Sombra Cremosa Duo  Pro HD -Pomada para Cejas  -CEJAS OSCURAS"
"1114E","8","280","Pre Base  de Maquillaje Mila BB - Neutra Pomo x 25gr."
"1218E","2","830","Paleta Especial de Luz y Contornos (Cartuchera con 4 Polvos compactos) Incluye Brocha de retoque  NUEVO"
"1014","1","495","Fluidificador de texturas.  "
"1860-01","1","470","Maquillaje Líquido Efecto Polvo HD Natural "
"1860-02","3","470","Maquillaje Líquido Efecto Polvo HD Dorado "
"1630-01","5","250","Máscara para Pestañas Extra Volumen Resistente al Agua Negro"
"1640-01","3","336","Máscara para Pestañas Dúo (Pre Base + Máscara para Pestañas Negro)"
"1500-503","2","204","Labial Humectante Rosa Nude   NUEVO"
"1500-504","2","204","Labial Humectante Beige Rosado"
"1500-508","2","204","Labial Humectante Magenta Violáceo  "
"1500-531","2","204","Labial Humectante Violeta Claro"
"1500M-04","1","250"," Labial Mate Pro DURAZNO "
"1500M-05","2","250"," Labial Mate Pro ORQUIDEA "
"1542-01","4","250","Brillo Labial Gel Tinta para Labios y Mejilla Cereza  "
"1005P-01","2","550","Tonalizador Correctivo Pro (Mini paleta) Art. 2001P/05-03-04-07-08-01"
"1005P-03","2","550","Tonalizador Correctivo Pro (Mini paleta) Art. 1701R-01/02/05/06/07/2001P-12      "
"1110-105","2","165","Sombra Compacta (Repuesto) Violeta Semimate"
"1110-142","2","165","Sombra Compacta (Repuesto) Verde Calipso"
"1110-F03","2","185","Sombra Compacta (Repuesto) Fucsia Intenso Mate"
"1110-F06","2","185","Sombra Compacta (Repuesto) Fucsia Intenso Satinado"
"1110-P07","2","185","Sombra Compacta (Repuesto) Violeta Mate"
"1110-S03","2","205","Sombra Compacta (Repuesto) Violeta Amatista Metalizado- Apta HD."
"2510P-","9","270"," Pre Base Para Labios  Cristal HD "
"2000P/2001P-03","3","685","Tonalizador Correctivo Pro (Art. Individual 2000P-03) Salmon  PACK 4 UNIDADES"
"2000P/2001P-04","3","685","Tonalizador Correctivo Pro (Art. Individual 2000P-04) Anaranjado  PACK 4 UNIDADES"
"2000P/2001P-06","3","685","Tonalizador Correctivo Pro (Art. Individual 2000P-06) Amarillo  PACK 4 UNIDADES"
"1700P-01","3","300","Maquillaje Cremoso Pro Correctivo  Marfil   "
"2005P-01","4","575","Maquillaje Compacto Polvo Pro Modelador mate -01/mate 02- Dúo claro / oscuro."
"2113P","4","320","Fijador Multifunción Pro HD  (Botella pulverizadora) x 55cc.   "
"2320P-01","2","850","Polvo Volátil  Pro Universal HD - (Art. Individual 2300P-01) Blanco Universal  PACK 2 UNIDADES"
"2301P-01","2","360","Polvo Volátil Pro Mineral Marfil"
"2301P-02","2","360","Polvo Volátil Pro Mineral Beige  Rosado"
"2600P-00","2","300","Mascara para Pestañas Base Extensora Pro Base Blanca Extensora"
"2801P-03","1","575","Maquillaje Hidratante Siliconado Pro  Tostado "
"2812P-00","4","265","Maquillaje Corrector Hidratante Siliconado Pro Beige Claro. "
"2812P-01","4","265","Maquillaje Corrector Hidratante Siliconado Pro Beige Neutro"
"2813P-","2","315","Corrector  optico HDF"
"2901P-01","1","890","Delineador en gel Pro  ( Art. Individual 1911P-01) Negro    PACK 4 UNIDADES"
"1101P ","1","1750","PALETAS PRO- Sombra Compacta Paleta  de tonos “Puros"  14 unid. (x 4gr.c/u.)  "
"1105P","1","1750","PALETAS PRO- Sombra Compacta - Paleta de tonos  "Fantasía" 14 unid. (x 4gr.c/u.)    "
"1200P","1","1750","PALETAS PRO- Rubor Compacto-  Paleta de rubores 14 unid.( x 4gr.c/u.)   "
"3003P","1","4800","PALETAS PRO- Juego de 3 Paletas Kit Escuela 61 tonos 1003P- 1106P - 1501P    NUEVA COMBINACION "
"3004P","3","4800","PALETAS PRO- Juego de 3 Paletas Kit Escuela42 tonos 1102P - 1103P- 1104P"
"1502P-01","1","540","Labial Humectante Pro  (Mini Paleta) Gama de Rosas"
"1502P-02","1","540","Labial Humectante Pro  (Mini Paleta) Gama de Anaranjados"
"1502P-03","1","540","Labial Humectante Pro  (Mini Paleta) Gama de Marrones"
"1502P-04","1","540","Labial Humectante Pro  (Mini Paleta) Gama de Rojos"
"401","4","170","Bolsas Ecológicas  de 30x38 cm. de Friselina con  Manijas y Logo    PACK 10 UNIDADES     (Art. Individual 410) "
"402","4","40","Bolsas Ecológicas  de 15x20 cm. de Friselina  y Logo    PACK 10 UNIDADES    (Art. Individual 411) "